Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Burglary
Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,

"         Inglewood Police Dept California 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Kern County Sheriff Department California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Los Angeles Police Dept California 2005 - Because of changes in the agency's reporting practices, 2005 aggravated assault figures are not comparable to previous years' data."

"         Modesto Police Dept California 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Moreno Valley California 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data."

"         Oakland Police Dept California 1991 - 1991 aggravated assault figures are not comparable to prior years due to a change in reporting procedures."

"         Oceanside California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Orange County Sheriff Department California 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Orange County Sheriff Department California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Richmond Police Dept California 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 motor vehicle theft figure is not comparable to previous years' data."

"         Riverside Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Roseville Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Sacramento County Sheriff Department California 2000 - Due to changes in reporting practices, 2000 motor vehicle theft figure is not comparable to previous years' data."

"         Sacramento County Sheriff Department California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         San Diego County Sheriff Department California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         San Joaquin County Sheriff Department California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         San Jose Police Dept California 1997 - Due to reporting changes or annexations, 1997 figures are not comparable to previous years' data."

"         Santa Clara Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Thousand Oaks California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Tulare County Sheriff Department California 2001 - Due to the changes in reporting practices, annexations, and/or incomplete data, 2001 motor vehicle theft figure is not available."

"         Tulare County Sheriff Department California 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 motor vehicle theft figure is not available."

"         Tulare County Sheriff Department California 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 motor vehicle theft figure is not available."

"         Tulare County Sheriff Department California 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, motor vehicle theft figure is not available."

"         Tulare County Sheriff Department California 2005 - The motor vehicle thefts for this county are collected by the Tulare County Highway Patrol."

"         Tulare County Sheriff Department California 2006 - Because of changes in reporting practices, annexations, and/or incomplete data, figures are not comparable to previous years' data."

"         Tulare County Sheriff Department California 2007 - The motor vehicle thefts for this county are collected by the Tulare County Highway Patrol."

"         Tulare County Sheriff Department California 2008 - The motor vehicle thefts for this county are collected by the Tulare County Highway Patrol."

"         Tulare County Sheriff Department California 2009 - The Tulare County Highway Patrol collects the motor vehicle thefts for this county."

"         Tulare County Sheriff Department California 2010 - The motor vehicle thefts for this county are collected by the Tulare County Highway Patrol."

"         Tulare County Sheriff Department California 2011 - The motor vehicle thefts for this county are collected by the Tulare County Highway Patrol."

"         Tulare County Sheriff Department California 2012 - The Tulare County Highway Patrol collects the motor vehicle thefts for this county.  These data can be found in Table 11."

"         Tulare County Sheriff Department California 2013 - The Tulare County Highway Patrol collects the motor vehicle thefts for this county. "

"         Tulare County Sheriff Department California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation. The Tulare County Highway Patrol collects the motor vehicle thefts for this county.  These data can be found in Table 11."

"         Vallejo Police Dept California 2010 - Because of changes in the agency's reporting practices, 2010 figures are not comparable to previous years' data."

"         Ventura County Sheriff Department California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Alameda County Sheriff Department California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Arvada Police Dept Colorado 1998 - Due to reporting changes or annexations, 1998 figures are not comparable to previous years' data."

"         Arvada Police Dept Colorado 1999 - Due to changes in reporting practices, annexations, and/or incomplete data, 1999 figures are not comparable to previous years' data"

"         Arvada Police Dept Colorado 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data."

"         Arvada Police Dept Colorado 2001 - Due to changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data."

"         Denver Police Dept Colorado 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Douglas County Sheriff Department Colorado 1999 - Due to changes in reporting practices, 1999 aggravated assault figure is not comparable to previous years' data."

"         Douglas County Sheriff Department Colorado 2012 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         El Paso County Colorado 2012 - The FBI determined that the agency's data were overreported.  Consequently, affected data are not included in this table."

"         Jefferson County Sheriff Department Colorado 2010 - Because of changes in the agency's reporting practices, 2010 figures are not comparable to previous years' data."

"         Pueblo Police Dept Colorado 2010 - Because of changes in the agency's reporting practices, 2010 figures are not comparable to previous years' data."

"         Thornton Police Dept Colorado 1994 - Due to reporting changes or annexations, 1994 figures are not comparable to previous years."

"         Thornton Police Dept Colorado 2010 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2010 aggravated assault offense."

"         Thornton Police Dept Colorado 2012 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Stamford Police Dept Connecticut 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Athens-Clarke County Police Department Georgia 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Atlanta Police Dept Georgia 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Cherokee County Sheriff Department Georgia 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Clayton County Police Department Georgia 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Cobb County Police Department Georgia 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Columbia County Sheriff Department Georgia 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Columbus Police Dept Georgia 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Dekalb County Public Safety Department Georgia 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Dekalb County Public Safety Department Georgia 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data."

"         Dekalb County Public Safety Department Georgia 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Forsyth County Sheriff Department Georgia 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Gwinnett County Police Department Georgia 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, figures are not comparable to previous years' data."

"         Gwinnett County Police Department Georgia 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Gwinnett County Police Department Georgia 2008 - Because of changes in the state/local agency's reporting practices, 2008 figures are not comparable to previous years' data."

"         Hall County Sheriff Department Georgia 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Henry Police Dept Georgia 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Paulding County Sheriff Department Georgia 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Savannah Police Dept Georgia 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Savannah Police Dept Georgia 2005 - Savannah-Chatham Metropolitan is a city-county government that includes the Savannah and Chatham County police departments."

"         Maui Police Department Hawaii 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Chicago Police Dept Illinois 2010 - The data collection methodology for the offense of forcible rape used by the Chicago, Illinois, does not comply with national Uniform Crime Reporting Program guidelines.  Consequently, its figures for forcible rape and violent crime (of which forcible rape is a part) are not included in this Tool."

"         Chicago Police Dept Illinois 2011 - The data collection methodology for the offense of forcible rape used by the Chicago, Illinois, does not comply with national Uniform Crime Reporting Program guidelines."

"         Chicago Police Dept Illinois 2012 - The data collection methodology for the offense of forcible rape used by Chicago, Illinois, and the Minnesota state UCR Program (with the exception of Minneapolis and St. Paul, Minnesota) does not comply with national UCR Program guidelines.  Consequently, its figures for forcible rape and violent crime (of which forcible rape is a part) are not published in this table."

"         Chicago Police Dept Illinois 2013 - The FBI determined that the agency's data were underreported.   The data collection methodology for the offense of rape used by Chicago, Illinois does not comply with national UCR Program guidelines.  "

"         Rockford Police Dept Illinois 2006 - Because of changes in the state/local agency's reporting practices, 2006 figures are not comparable to previous years' data."

"         Rockford Police Dept Illinois 2007 - Because of changes in the state/local agency's reporting practices, 2007 figures are not comparable to previous years' data."

"         Evansville Police Dept Indiana 1990 - Due to reporting changes, 1990 aggravated assault figures are not comparable to previous years' data."

"         Evansville Police Dept Indiana 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data."

"         Evansville Police Dept Indiana 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data."

"         Evansville Police Dept Indiana 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Fort Wayne Police Dept Indiana 2006 - Due to an annexation, 2006 population and figures may not be comparable to previous years' data."

"         Fort Wayne Police Dept Indiana 2010 - Because of changes in the agency's reporting practices, 2010 figures are not comparable to previous years' data."

"         Indianapolis Police Dept Indiana 1994 - Indianapolis/Marion County, Indiana, is a unified city-county government with a total population in 1994 of 771,796"

"         Indianapolis Police Dept Indiana 1996 - Indianapolis/Marion County, Indiana, is a unified city-county government with a total population in 1996 of 777,458"

"         Indianapolis Police Dept Indiana 1997 - Indianapolis/Marion County, Indiana, reported as a unified city-county government in 1997; therefore, their Crime Index figures are combined and are not comparable to previous years' data."

"         Indianapolis Police Dept Indiana 1998 - Indianapolis/Marion County, Indiana, is a unified city-county government with a total population in 1998 of 759,689; therefore, Crime Index figures are combined and are not comparable to previous years' data."

"         Indianapolis Police Dept Indiana 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Indianapolis Police Dept Indiana 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Marion County Sheriff Department Indiana 1994 - Indianapolis/Marion County, Indiana, is a unified city-county government with a total population in 1994 of 771,796"

"         Marion County Sheriff Department Indiana 1995 - Indianapolis/Marion County, Indiana, is a unified city-county government with a total population in 1995 of 772,792"

"         Marion County Sheriff Department Indiana 1996 - Indianapolis/Marion County, Indiana, is a unified city-county government with a total population in 1996 of 777,458"

"         St. Joseph County Sheriff Department Indiana 1999 - Due to changes in reporting practices, annexations, and/or incomplete data, 1999 figures are not comparable to previous years' data."

"         Des Moines Police Dept Iowa 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Des Moines Police Dept Iowa 2006 - Because of changes in the state/local agency's reporting practices, 2006 figures are not comparable to previous years' data."

"         Des Moines Police Dept Iowa 2009 - Because of changes in the state/local agency's reporting practices, 2009 figures are not comparable to previous years' data."

"         Olathe Police Dept Kansas 2009 - Because of changes in the state/local agency's reporting practices, 2009 figures are not comparable to previous years' data."

"         Topeka Police Dept Kansas 1999 - Due to changes in reporting practices, annexations, and/or incomplete data, 1999 figures are not comparable to previous years' data"

"         Topeka Police Dept Kansas 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data."

"         Topeka Police Dept Kansas 2001 - Due to changes in reporting practices, annexations, and/or incomplete data, 2001 aggravated assault figure is not comparable to previous years' data."

"         Topeka Police Dept Kansas 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Wichita Police Dept Kansas 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data"

"         Louisville Metro Kentucky 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Louisville Metro Kentucky 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation. Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Lexington-Fayette County Police Department Kentucky 2001 - Due to changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data."

"         Lexington-Fayette County Police Department Kentucky 2006 - Because of changes in the state/local agency's reporting practices, 2006 figures are not comparable to previous years' data."

"         Lexington-Fayette County Police Department Kentucky 2012 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Louisville Police Dept Kentucky 2002 - After 2002, crime for Louisville and Jefferson County were combined to form Louisville Metro, a consolidated county-city government."

"         Ascension Parish Sheriff Department Louisiana 2012 - The FBI determined that the agency's data were underreported.  Consequently, those data are not included in this table."

"         Baton Rouge Police Dept Louisiana 1996 - Due to reporting changes or annexations, 1996 figures are not comparable to previous years' data."

"         Baton Rouge Police Dept Louisiana 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         East Baton Rouge Parish Sheriff Dept Louisiana 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Jefferson Parish Sheriff Department Louisiana 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Lafayette Police Dept Louisiana 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Livingston Parish Sheriff Department Louisiana 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation. The FBI determined that the agency's data were overreported.  Consequently, those data are not included in this table."

"         New Orleans Police Dept Louisiana 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data."

"         St. Tammany Parish Sheriff Department Louisiana 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Baltimore City Police Dept Maryland 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data."

"         Cambridge Police Dept Massachusetts 2007 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Lowell Police Dept Massachusetts 2008 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Springfield Police Dept Massachusetts 1993 - Due to reporting changes, 1993 aggravated assault figure is not comparable to previous years' data."

"         Springfield Police Dept Massachusetts 1996 - Due to reporting changes, 1996 motor vehicle theft figure is not comparable to previous years' data."

"         Worcester Police Dept Massachusetts 1993 - Due to reporting changes, 1993 aggravated assault figure is not comparable to previous years' data."

"         Ann Arbor Police Dept Michigan 1991 - Due to reporting changes, 1991 data are not comparable to previous years' data."

"         Ann Arbor Police Dept Michigan 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data"

"         Detroit Police Dept Michigan 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data."

"         Detroit Police Dept Michigan 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Detroit Police Dept Michigan 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Grand Rapids Police Dept Michigan 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Grand Rapids Police Dept Michigan 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data."

"         Grand Rapids Police Dept Michigan 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Grand Rapids Police Dept Michigan 2014 - The FBI determined that the agency's data were underreported.  Consequently, those data are not included in this table."

"         Lansing City Police Dept Michigan 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Macomb County Sheriff Office Michigan 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Macomb County Sheriff Office Michigan 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Monroe County Sheriff Department Michigan 2008 - Because of changes in the state/local agency's reporting practices, 2008 figures are not comparable to previous years' data."

"         Monroe County Sheriff Department Michigan 2014 - The FBI determined that the agency's data were underreported.  Consequently, those data are not included in this table."

"         Oakland County Sheriff Office Michigan 2011 - Because of changes in the agency's reporting practices, 2011 figures are not comparable to previous years' data."

"         Warren Police Dept Michigan 2003 - The FBI determined that the agency's motor vehicle theft data were overreported."

"         Warren Police Dept Michigan 2004 - The FBI determined that the agency's motor vehicle theft data were overreported."

"         Warren Police Dept Michigan 2005 - After examining the data and making inquiries, the FBI determined that the agency's motor vehicle offense count was inflated."

"         Warren Police Dept Michigan 2007 - The FBI determined that the agency's 2007 motor vehicle theft data were overreported."

"         Warren Police Dept Michigan 2008 - The FBI determined that the agency's 2008 motor vehicle theft data were overreported."

"         Warren Police Dept Michigan 2009 - Because of changes in the state/local agency's reporting practices, 2009 figures are not comparable to previous years' data."

"         Independence Police Dept Missouri 2010 - Because of changes in the agency's reporting practices, 2010 figures are not comparable to previous years' data."

"         Jefferson County Sheriff Department Missouri 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, figures are not comparable to previous years' data."

"         Jefferson County Sheriff Department Missouri 2001 - Due to the changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data."

"         Kansas City Police Dept Missouri 2006 - Because of changes in the agency's reporting practices, 2006 figures are not comparable to previous years' data."

"         Kansas City Police Dept Missouri 2010 - Because of changes in the agency's reporting practices, 2010 figures are not comparable to previous years' data."

"         Springfield Police Dept Missouri 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Billings Police Dept Montana 2008 - Because of changes in the state/local agency's reporting practices, 2008 figures are not comparable to previous years' data."

"         Omaha Police Dept Nebraska 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, figures are not comparable to previous years' data."

"         Las Vegas Metropolitan Police Department Nevada 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Reno Police Dept Nevada 2001 - Due to changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data."

"         Reno Police Dept Nevada 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Manchester Police Dept New Hampshire 2008 - Because of changes in the state/local agency's reporting practices, 2008 figures are not comparable to previous years' data."

"         Albuquerque Police Dept New Mexico 1995 - Due to reporting changes, 1995 aggravated assault figure is not comparable to previous years' data."

"         Albuquerque Police Dept New Mexico 1996 - Due to reporting changes or annexations, 1996 figures are not comparable to previous years' data."

"         Las Cruces Police Dept New Mexico 2007 - Because of changes in the state/local agency's reporting practices, 2007 figures are not comparable to previous years' data."

"         Amherst Town Police Dept New York 1993 - Due to reporting changes, 1993 aggravated assault figure is not comparable to previous years."

"         Amherst Town Police Dept New York 1994 - Due to reporting changes or annexations, 1994 aggravated assault figure is not comparable to previous years."

"         Amherst Town Police Dept New York 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Buffalo Police Dept New York 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Dutchess County Sheriff Office New York 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Monroe County Sheriff Office New York 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Nassau County Police Dep New York 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         New York City Police Dept New York 2001 - The murder and nonnegligent homicides that occured as a result of the events of September 11, 2001, are not included."

"         New York City Police Dept New York 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Onondaga County Sheriff Department New York 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Rochester Police Dept New York 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Saratoga County Sheriff Department New York 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Suffolk County Police Department New York 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Syracuse Police Dept New York 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Yonkers Police Dept New York 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Charlotte-Mecklenburg Police Department North Carolina 1994 - The Charlotte, NC, Police Department and Mecklenburg County, NC., Police Department merged into one department in 1994."

"         Durham Police Dept North Carolina 2006 - Because of changes in the state/local agency's reporting practices, 2006 figures are not comparable to previous years' data."

"         Fayetteville Police Dept North Carolina 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Forsyth County Sheriff Department North Carolina 2001 - Due to the changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data."

"         Union County Sheriff Office North Carolina 2006 - The FBI determined that the agency's 2006 aggravated assault data were underreported."

"         Winston-Salem Police Dept North Carolina 2001 - Due to changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data."

"         Akron City Police Dept Ohio 1993 - Due to reporting changes, 1993 aggravated assault figures are not comparable to previous years."

"         Cincinnati Police Dept Ohio 1999 - Due to changes in reporting practices, annexations, and/or incomplete data, 1999 figures are not comparable to previous years' data"

"         Cincinnati Police Dept Ohio 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data."

"         Cleveland Ohio 1998 - Due to reporting changes or annexations, 1998 figures are not comparable to previous years' data."

"         Cleveland Ohio 1999 - Due to changes in reporting practices, annexations, and/or incomplete data, 1999 figures are not comparable to previous years' data"

"         Cleveland Ohio 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Columbus Police Dept Ohio 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Hamilton County Sheriff Department Ohio 2012 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Toledo Police Dept Ohio 2001 - Due to changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data."

"         Toledo Police Dept Ohio 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Toledo Police Dept Ohio 2009 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the offense of larceny-theft.  Consequently, this figure is not included in this Tool."

"         Toledo Police Dept Ohio 2010 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2010 larceny-theft offense."

"         Toledo Police Dept Ohio 2011 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2011 larceny-theft offense."

"         Toledo Police Dept Ohio 2012 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting an offense.  Consequently, this figure is not included in this table."

"         Toledo Police Dept Ohio 2013 - The FBI determined that the agency did not follow national UCR Program guidelines for reporting an offense. "

"         Toledo Police Dept Ohio 2014 - The FBI determined that the agency did not follow national UCR Program guidelines for reporting an offense.  Consequently, this figure is not included in this table."

"         Oklahoma City Police Dept Oklahoma 1985 - Due to reporting changes, 1985 figures are not comparable to previous years' data."

